[Timestamp_micros,aout_speed_uint8,speed_measured_hz]
0,100,57.71
21,100,57.71
42,100,57.71
63,100,57.71
84,100,57.71
105,100,57.71
126,100,57.71
147,100,57.71
168,100,57.71
189,100,57.71
210,100,57.71
231,100,57.71
253,100,57.71
274,100,57.71
295,100,57.71
316,100,57.71
337,100,57.71
358,100,57.71
379,100,57.71
400,100,57.71
421,100,57.71
442,100,57.71
463,100,57.71
484,100,57.71
505,100,57.71
526,100,57.71
548,100,57.71
569,100,57.71
590,100,57.71
611,100,57.71
632,100,57.71
653,100,57.71
674,100,57.71
695,100,57.71
716,100,57.71
737,100,57.71
758,100,57.71
779,100,57.71
800,100,57.71
821,100,57.71
843,100,57.71
864,100,57.71
885,100,57.71
906,100,57.71
927,100,57.71
948,100,57.71
969,100,57.71
990,100,57.71
1011,100,57.71
1032,100,57.71
1053,100,57.71
1074,100,57.71
1095,100,57.71
1117,100,57.71
1138,100,57.71
1159,100,57.71
1180,100,57.71
1201,100,57.71
1222,100,57.71
1243,100,57.71
1264,100,57.71
1285,100,57.71
1306,100,57.71
1328,100,57.71
1349,100,57.71
1370,100,57.71
1391,100,57.71
1412,100,57.71
1433,100,57.71
1454,100,57.71
1475,100,57.71
1496,100,57.71
1517,100,57.71
1539,100,57.71
1560,100,57.71
1581,100,57.71
1602,100,57.71
1623,100,57.71
1644,100,57.71
1665,100,57.71
1686,100,57.71
1707,100,57.71
1728,100,57.71
1750,100,57.71
1771,100,57.71
1792,100,57.71
1813,100,57.71
1834,100,57.71
1855,100,57.71
1876,100,57.49
1897,100,57.49
1918,100,57.49
1940,100,57.49
1961,100,57.49
1982,100,57.49
2003,100,57.49
2024,100,57.49
2045,100,57.49
2066,100,57.49
2087,100,57.49
2108,100,57.49
2129,100,57.49
2151,100,57.49
2172,100,57.49
2193,100,57.49
2214,100,57.49
2235,100,57.49
2256,100,57.49
2277,100,57.49
2298,100,57.49
2319,100,57.49
2341,100,57.49
2362,100,57.49
2383,100,57.49
2404,100,57.49
2425,100,57.49
2446,100,57.49
2467,100,57.49
2488,100,57.49
2509,100,57.49
2530,100,57.49
2552,100,57.49
2573,100,57.49
2594,100,57.49
2615,100,57.49
2636,100,57.49
2657,100,57.49
2678,100,57.49
2699,100,57.49
2720,100,57.49
2742,100,57.49
2763,100,57.49
2788,100,57.49
2809,100,57.49
2830,100,57.49
2851,100,57.49
2872,100,57.49
2893,100,57.49
2914,100,57.49
2936,100,57.49
2957,100,57.49
2978,100,57.49
2999,100,57.49
3020,100,57.49
3041,100,57.49
3062,100,57.49
3083,100,57.49
3104,100,57.49
3125,100,57.49
3147,100,57.49
3168,100,57.49
3189,100,57.49
3210,100,57.49
3231,100,57.49
3252,100,57.49
3273,100,57.49
3294,100,57.49
3315,100,57.49
3337,100,57.49
3358,100,57.49
3379,100,57.49
3400,100,57.49
3421,100,57.49
3442,100,57.49
3463,100,57.49
3484,100,57.49
3505,100,57.49
3526,100,57.49
3548,100,57.49
3569,100,57.49
3590,100,57.49
3611,100,57.49
3632,100,57.49
3653,100,57.49
3674,100,57.49
3695,100,57.49
3716,100,57.49
3738,100,57.49
3759,100,57.49
3780,100,57.49
3801,100,57.49
3822,100,57.49
3843,100,57.49
3864,100,57.49
3885,100,57.49
3906,100,57.49
3928,100,57.49
3949,100,57.49
3970,100,57.49
3991,100,57.49
4012,100,57.49
4033,100,57.49
4054,100,57.49
4075,100,57.49
4096,100,57.49
4117,100,57.49
4139,100,57.49
4160,100,57.49
4181,100,57.49
4202,100,57.49
4223,100,57.49
4244,100,57.49
4265,100,57.49
4286,100,57.49
4307,100,57.49
4328,100,57.49
4350,100,57.49
4371,100,57.49
4392,100,57.49
4413,100,57.49
4434,100,57.49
4455,100,57.49
4476,100,57.49
4497,100,57.49
4518,100,57.49
4540,100,57.49
4561,100,57.49
4582,100,57.49
4603,100,57.49
4624,100,57.49
4645,100,57.49
4666,100,57.49
4687,100,57.49
4708,100,57.49
4730,100,57.49
4751,100,57.49
4772,100,57.49
4793,100,57.49
4814,100,57.49
4835,100,57.49
4856,100,57.49
4877,100,57.49
4898,100,57.49
4919,100,57.49
4941,100,57.49
4962,100,57.49
4983,100,57.49
5004,100,57.49
5025,100,57.49
5046,100,57.49
5067,100,57.49
