[Timestamp_micros,aout_speed_uint8,din_hall0,speed_measured_hz]
0,150,1,129.00
100,150,1,129.00
200,150,1,129.00
300,150,1,129.00
400,150,1,129.00
500,150,1,129.00
600,150,1,129.00
700,150,1,129.00
800,150,0,130.28
900,150,0,130.28
1000,150,0,130.28
1100,150,0,130.28
1200,150,0,130.28
1300,150,0,130.28
1400,150,0,130.28
1500,150,0,130.28
1600,150,0,130.28
1700,150,0,130.28
1800,150,0,130.28
1900,150,0,130.28
2000,150,0,130.28
2100,150,0,130.28
2200,150,0,130.28
2300,150,0,130.28
2400,150,0,130.28
2500,150,0,130.28
2600,150,0,130.28
2700,150,0,130.28
2800,150,0,130.28
2900,150,0,130.28
3000,150,0,130.28
3100,150,0,130.28
3200,150,0,130.28
3300,150,0,130.28
3400,150,0,130.28
3500,150,0,130.28
3600,150,0,130.28
3700,150,0,130.28
3800,150,0,130.28
3900,150,0,130.28
4000,150,0,130.28
4100,150,0,130.28
4200,150,0,130.28
4300,150,0,130.28
4400,150,0,130.28
4500,150,0,130.28
4600,150,0,130.28
4700,150,1,130.28
4800,150,1,130.28
4900,150,1,130.28
5000,150,1,130.28
5100,150,1,130.28
5200,150,1,130.28
5300,150,1,130.28
5400,150,1,130.28
5500,150,1,130.28
5600,150,1,130.28
5700,150,1,130.28
5800,150,1,130.28
5900,150,1,130.28
6000,150,1,130.28
6100,150,1,130.28
6200,150,1,130.28
6300,150,1,130.28
6400,150,1,130.28
6500,150,1,130.28
6600,150,1,130.28
6700,150,1,130.28
6800,150,1,130.28
6900,150,1,130.28
7000,150,1,130.28
7100,150,1,130.28
7200,150,1,130.28
7300,150,1,130.28
7400,150,1,130.28
7500,150,1,130.28
7600,150,1,130.28
7700,150,1,130.28
7800,150,1,130.28
7900,150,1,130.28
8000,150,1,130.28
8100,150,1,130.28
8200,150,1,130.28
8300,150,1,130.28
8400,150,1,130.28
8500,150,1,130.28
8600,150,0,129.87
8700,150,0,129.87
8800,150,0,129.87
8900,150,0,129.87
9000,150,0,129.87
9100,150,0,129.87
9200,150,0,129.87
9311,150,0,129.87
9411,150,0,129.87
9511,150,0,129.87
9611,150,0,129.87
9711,150,0,129.87
9811,150,0,129.87
9911,150,0,129.87
10011,150,0,129.87
10111,150,0,129.87
10211,150,0,129.87
10311,150,0,129.87
10411,150,0,129.87
10511,150,0,129.87
10611,150,0,129.87
10711,150,0,129.87
10811,150,0,129.87
10911,150,0,129.87
11011,150,0,129.87
11111,150,0,129.87
11211,150,0,129.87
11311,150,0,129.87
11411,150,0,129.87
11511,150,0,129.87
11611,150,0,129.87
11711,150,0,129.87
11811,150,0,129.87
11911,150,0,129.87
12011,150,0,129.87
12111,150,0,129.87
12211,150,0,129.87
12311,150,0,129.87
12411,150,1,129.87
12511,150,1,129.87
12611,150,1,129.87
12711,150,1,129.87
12811,150,1,129.87
12911,150,1,129.87
13011,150,1,129.87
13111,150,1,129.87
13211,150,1,129.87
13311,150,1,129.87
13411,150,1,129.87
13511,150,1,129.87
13611,150,1,129.87
13711,150,1,129.87
13811,150,1,129.87
13911,150,1,129.87
14011,150,1,129.87
14111,150,1,129.87
14211,150,1,129.87
14311,150,1,129.87
14411,150,1,129.87
14511,150,1,129.87
14611,150,1,129.87
14711,150,1,129.87
14811,150,1,129.87
14911,150,1,129.87
15011,150,1,129.87
15111,150,1,129.87
15211,150,1,129.87
15311,150,1,129.87
15411,150,1,129.87
15511,150,1,129.87
15611,150,1,129.87
15711,150,1,129.87
15811,150,1,129.87
15911,150,1,129.87
16011,150,1,129.87
16111,150,1,129.87
16211,150,0,130.04
16311,150,0,130.04
16411,150,0,130.04
16511,150,0,130.04
16611,150,0,130.04
16711,150,0,130.04
16811,150,0,130.04
16911,150,0,130.04
17011,150,0,130.04
17111,150,0,130.04
17211,150,0,130.04
17311,150,0,130.04
17411,150,0,130.04
17511,150,0,130.04
17611,150,0,130.04
17711,150,0,130.04
17811,150,0,130.04
17911,150,0,130.04
18011,150,0,130.04
18111,150,0,130.04
18211,150,0,130.04
18311,150,0,130.04
18411,150,0,130.04
18511,150,0,130.04
18611,150,0,130.04
18711,150,0,130.04
18811,150,0,130.04
18911,150,0,130.04
19011,150,0,130.04
19111,150,0,130.04
19211,150,0,130.04
19311,150,0,130.04
19411,150,0,130.04
19511,150,0,130.04
19611,150,0,130.04
19711,150,0,130.04
19811,150,0,130.04
19911,150,0,130.04
20011,150,0,130.04
20111,150,1,130.04
20211,150,1,130.04
20311,150,1,130.04
20411,150,1,130.04
20511,150,1,130.04
20611,150,1,130.04
20711,150,1,130.04
20811,150,1,130.04
20911,150,1,130.04
21011,150,1,130.04
21111,150,1,130.04
21211,150,1,130.04
21311,150,1,130.04
21411,150,1,130.04
21511,150,1,130.04
21611,150,1,130.04
21711,150,1,130.04
21811,150,1,130.04
21911,150,1,130.04
22011,150,1,130.04
22111,150,1,130.04
22211,150,1,130.04
22311,150,1,130.04
22411,150,1,130.04
22511,150,1,130.04
22611,150,1,130.04
22711,150,1,130.04
22811,150,1,130.04
22911,150,1,130.04
23011,150,1,130.04
23111,150,1,130.04
23211,150,1,130.04
23311,150,1,130.04
23411,150,1,130.04
23511,150,1,130.04
23611,150,1,130.04
23711,150,1,130.04
23811,150,1,130.04
23911,150,1,130.04
24011,150,0,129.40
24111,150,0,129.40
24211,150,0,129.40
24311,150,0,129.40
24411,150,0,129.40
24511,150,0,129.40
24611,150,0,129.40
24711,150,0,129.40
24811,150,0,129.40
24911,150,0,129.40
25011,150,0,129.40
25111,150,0,129.40
25211,150,0,129.40
25311,150,0,129.40
25411,150,0,129.40
25511,150,0,129.40
25611,150,0,129.40
25711,150,0,129.40
25811,150,0,129.40
25911,150,0,129.40
26011,150,0,129.40
26111,150,0,129.40
26211,150,0,129.40
26311,150,0,129.40
26411,150,0,129.40
26511,150,0,129.40
26611,150,0,129.40
26711,150,0,129.40
26811,150,0,129.40
26911,150,0,129.40
