[Timestamp_micros,aout_speed_uint8,speed_measured_hz]
0,100,57.10
21,100,57.10
42,100,57.10
63,100,57.10
84,100,57.10
105,100,57.10
126,100,57.10
147,100,57.10
168,100,57.10
189,100,57.10
211,100,57.10
232,100,57.10
253,100,57.10
274,100,57.10
295,100,57.10
316,100,57.10
337,100,57.10
358,100,57.10
379,100,57.10
400,100,57.10
421,100,57.10
442,100,57.10
463,100,57.10
484,100,57.10
506,100,57.10
527,100,57.10
548,100,57.10
569,100,57.10
590,100,57.10
611,100,57.10
632,100,57.10
653,100,57.10
674,100,57.10
695,100,57.10
716,100,57.10
737,100,57.10
758,100,57.10
779,100,57.10
801,100,57.10
822,100,57.10
843,100,57.10
864,100,57.10
885,100,57.10
906,100,57.10
927,100,57.10
948,100,57.10
969,100,57.10
990,100,57.10
1011,100,57.10
1032,100,57.10
1053,100,57.10
1075,100,57.10
1096,100,57.10
1117,100,57.10
1138,100,57.10
1159,100,57.10
1180,100,57.10
1201,100,57.10
1222,100,57.10
1243,100,57.10
1265,100,57.10
1286,100,57.10
1307,100,57.10
1328,100,57.10
1349,100,57.10
1370,100,57.10
1391,100,57.10
1412,100,57.10
1433,100,57.10
1455,100,57.10
1476,100,57.10
1497,100,57.10
1518,100,57.10
1539,100,57.10
1560,100,57.10
1581,100,57.10
1602,100,57.10
1623,100,57.10
1644,100,57.10
1666,100,57.10
1687,100,57.10
1708,100,57.10
1729,100,57.10
1750,100,57.10
1771,100,57.10
1792,100,57.10
1813,100,57.10
1834,100,57.10
1856,100,57.10
1877,100,57.10
1898,100,57.10
1919,100,57.10
1940,100,57.10
1961,100,57.10
1982,100,57.10
2003,100,57.10
2024,100,57.10
2045,100,57.10
2067,100,57.10
2088,100,57.10
2109,100,57.10
2130,100,57.10
2151,100,57.10
2172,100,57.10
2193,100,57.10
2214,100,57.10
2235,100,57.10
2257,100,57.10
2278,100,57.10
2299,100,57.10
2320,100,57.10
2341,100,57.10
2362,100,57.10
2383,100,57.10
2404,100,57.10
2425,100,57.10
2447,100,57.10
2468,100,57.10
2489,100,57.10
2510,100,57.10
2531,100,57.10
2552,100,57.10
2573,100,57.10
2594,100,57.10
2616,100,57.10
2637,100,57.10
2658,100,57.10
2679,100,57.10
2700,100,57.10
2721,100,57.10
2742,100,57.10
2763,100,57.10
2788,100,57.10
2810,100,57.10
2831,100,57.10
2852,100,57.10
2873,100,57.10
2894,100,57.10
2915,100,57.10
2936,100,57.10
2957,100,57.10
2978,100,57.10
3000,100,57.10
3021,100,57.10
3042,100,57.10
3063,100,57.10
3084,100,57.10
3105,100,57.10
3126,100,57.10
3147,100,57.10
3168,100,57.10
3190,100,57.10
3211,100,57.10
3232,100,57.10
3253,100,57.10
3274,100,57.10
3295,100,57.10
3316,100,57.10
3337,100,57.10
3358,100,57.10
3380,100,57.10
3401,100,57.10
3422,100,57.10
3443,100,57.10
3464,100,57.10
3485,100,57.10
3506,100,57.10
3527,100,57.10
3548,100,57.10
3570,100,57.10
3591,100,57.10
3612,100,57.10
3633,100,57.10
3654,100,57.10
3675,100,57.10
3696,100,57.10
3717,100,57.10
3738,100,57.10
3760,100,57.10
3781,100,57.10
3802,100,57.10
3823,100,57.10
3844,100,57.10
3865,100,57.10
3886,100,57.10
3907,100,57.10
3929,100,57.10
3950,100,57.10
3971,100,57.10
3992,100,57.10
4013,100,57.10
4034,100,57.10
4055,100,57.10
4076,100,57.10
4097,100,57.10
4119,100,57.10
4140,100,57.10
4161,100,57.10
4182,100,57.10
4203,100,57.10
4224,100,57.10
4245,100,57.10
4266,100,57.10
4287,100,57.10
4309,100,57.10
4330,100,57.10
4351,100,57.10
4372,100,57.10
4393,100,57.10
4414,100,57.10
4435,100,57.10
4456,100,57.10
4478,100,57.10
4499,100,57.10
4520,100,57.10
4541,100,57.10
4562,100,57.10
4583,100,57.10
4604,100,57.10
4625,100,57.10
4646,100,57.10
4668,100,57.10
4689,100,57.10
4710,100,57.10
4731,100,57.10
4752,100,57.10
4773,100,57.10
4794,100,57.10
4815,100,57.10
4836,100,57.10
4858,100,57.10
4879,100,57.10
4900,100,57.61
4921,100,57.61
4942,100,57.61
4963,100,57.61
4984,100,57.61
5005,100,57.61
5026,100,57.61
5047,100,57.61
5069,100,57.61
5090,100,57.61
5111,100,57.61
5132,100,57.61
5153,100,57.61
5174,100,57.61
5195,100,57.61
5216,100,57.61
5237,100,57.61
5259,100,57.61
5280,100,57.61
5301,100,57.61
5322,100,57.61
5343,100,57.61
5364,100,57.61
5385,100,57.61
5406,100,57.61
5427,100,57.61
5449,100,57.61
5470,100,57.61
5495,100,57.61
5516,100,57.61
5537,100,57.61
5558,100,57.61
5580,100,57.61
5601,100,57.61
5622,100,57.61
5643,100,57.61
5664,100,57.61
5685,100,57.61
5706,100,57.61
5727,100,57.61
5748,100,57.61
5769,100,57.61
5791,100,57.61
5812,100,57.61
5833,100,57.61
5854,100,57.61
5875,100,57.61
5896,100,57.61
5917,100,57.61
5938,100,57.61
5959,100,57.61
5981,100,57.61
6002,100,57.61
6023,100,57.61
6044,100,57.61
6065,100,57.61
6086,100,57.61
6107,100,57.61
6128,100,57.61
6149,100,57.61
6171,100,57.61
6192,100,57.61
6213,100,57.61
6234,100,57.61
6255,100,57.61
6276,100,57.61
6297,100,57.61
6318,100,57.61
6339,100,57.61
6360,100,57.61
6382,100,57.61
6403,100,57.61
6424,100,57.61
6445,100,57.61
6466,100,57.61
6487,100,57.61
6508,100,57.61
6529,100,57.61
6550,100,57.61
6572,100,57.61
6593,100,57.61
6614,100,57.61
6635,100,57.61
6656,100,57.61
6677,100,57.61
6698,100,57.61
6719,100,57.61
6740,100,57.61
6761,100,57.61
6783,100,57.61
6804,100,57.61
6825,100,57.61
6846,100,57.61
6867,100,57.61
6888,100,57.61
6909,100,57.61
6930,100,57.61
6951,100,57.61
6973,100,57.61
6994,100,57.61
7015,100,57.61
7036,100,57.61
7057,100,57.61
7078,100,57.61
7099,100,57.61
7120,100,57.61
7141,100,57.61
7163,100,57.61
7184,100,57.61
7205,100,57.61
7226,100,57.61
7247,100,57.61
7268,100,57.61
7289,100,57.61
7310,100,57.61
7331,100,57.61
7352,100,57.61
7374,100,57.61
7395,100,57.61
7416,100,57.61
7437,100,57.61
7458,100,57.61
7479,100,57.61
7500,100,57.61
7521,100,57.61
7542,100,57.61
7564,100,57.61
7585,100,57.61
7606,100,57.61
7627,100,57.61
7648,100,57.61
7669,100,57.61
7690,100,57.61
7711,100,57.61
7732,100,57.61
7753,100,57.61
7775,100,57.61
7796,100,57.61
7817,100,57.61
7838,100,57.61
7859,100,57.61
7880,100,57.61
7901,100,57.61
7922,100,57.61
7943,100,57.61
7965,100,57.61
7986,100,57.61
8007,100,57.61
8028,100,57.61
8049,100,57.61
8070,100,57.61
8091,100,57.61
8112,100,57.61
8133,100,57.61
