[Timestamp_micros,aout_speed_uint8,bool_brake,speed_measured_hz]
0,100,0,56.66
21,100,0,56.66
43,100,0,56.66
64,100,0,56.66
86,100,0,56.66
107,100,0,56.66
129,100,0,56.66
151,100,0,56.66
172,100,0,56.66
194,100,0,56.66
216,100,0,56.66
237,100,0,56.66
259,100,0,56.66
280,100,0,56.66
302,100,0,56.66
324,100,0,56.66
345,100,0,56.66
367,100,0,56.66
389,100,0,56.66
410,100,0,56.66
432,100,0,56.66
453,100,0,56.66
475,100,0,56.66
497,100,0,56.66
518,100,0,56.66
540,100,0,56.66
561,100,0,56.66
583,100,0,56.66
605,100,0,56.66
626,100,0,56.66
648,100,0,56.66
670,100,0,56.66
691,100,0,56.66
713,100,0,56.66
734,100,0,56.66
756,100,0,56.66
778,100,0,56.66
799,100,0,56.66
821,100,0,56.66
843,100,0,56.66
864,100,0,56.66
886,100,0,56.66
907,100,0,56.66
929,100,0,56.66
951,100,0,56.66
972,100,0,56.66
994,100,0,56.66
1016,100,0,56.66
1037,100,0,56.66
1059,100,0,56.66
1081,100,0,56.66
1102,100,0,56.66
1124,100,0,56.66
1146,100,0,56.66
1167,100,0,56.66
1189,100,0,56.66
1211,100,0,56.66
1233,100,0,56.66
1254,100,0,56.66
1276,100,0,56.66
1298,100,0,56.66
1319,100,0,56.66
1341,100,0,56.66
1363,100,0,56.66
1384,100,0,56.66
1406,100,0,56.66
1428,100,0,56.66
1449,100,0,56.66
1471,100,0,56.66
1493,100,0,56.66
1515,100,0,56.66
1536,100,0,56.66
1558,100,0,56.66
1580,100,0,56.66
1601,100,0,56.66
1623,100,0,56.66
1645,100,0,56.66
1666,100,0,56.66
1688,100,0,56.66
1710,100,0,56.66
1731,100,0,56.66
1753,100,0,56.66
1775,100,0,56.66
1797,100,0,56.66
1818,100,0,56.66
1840,100,0,56.66
1862,100,0,56.66
1883,100,0,56.66
1905,100,0,56.66
1927,100,0,56.66
1948,100,0,56.66
1970,100,0,56.66
1992,100,0,56.66
2014,100,0,56.66
2035,100,0,56.66
2057,100,0,56.66
2079,100,0,56.66
2100,100,0,56.66
2122,100,0,56.66
2144,100,0,56.66
2165,100,0,56.66
2187,100,0,56.66
2209,100,0,56.66
2231,100,0,56.66
2252,100,0,56.66
2274,100,0,56.66
2296,100,0,56.66
2317,100,0,56.66
2339,100,0,56.66
2361,100,0,56.66
2382,100,0,56.66
2404,100,0,56.66
2426,100,0,56.66
2447,100,0,56.66
2469,100,0,56.66
2491,100,0,56.66
2513,100,0,56.66
2538,100,0,56.66
2560,100,0,56.66
2581,100,0,56.66
2603,100,0,56.66
2625,100,0,56.66
2646,100,0,56.66
2668,100,0,56.66
2690,100,0,56.66
2712,100,0,56.66
2733,100,0,56.66
2755,100,0,56.66
2777,100,0,56.66
2798,100,0,56.66
2820,100,0,56.66
2842,100,0,56.66
2864,100,0,56.66
2885,100,0,56.66
2907,100,0,56.66
2929,100,0,56.66
2950,100,0,56.66
2972,100,0,56.66
2994,100,0,56.66
3015,100,0,56.66
3037,100,0,56.66
3059,100,0,56.66
3081,100,0,56.66
3102,100,0,56.66
3124,100,0,56.66
3146,100,0,56.66
3167,100,0,56.66
3189,100,0,56.66
3211,100,0,56.66
3232,100,0,56.66
3254,100,0,56.66
3276,100,0,56.66
3298,100,0,56.66
3319,100,0,56.66
3341,100,0,56.66
3363,100,0,56.66
3384,100,0,56.66
3406,100,0,56.66
3428,100,0,56.66
3449,100,0,56.66
3471,100,0,56.66
3493,100,0,56.66
3515,100,0,56.66
3536,100,0,56.66
3558,100,0,56.66
3580,100,0,56.66
3601,100,0,56.66
3623,100,0,56.66
3645,100,0,56.66
3667,100,0,56.66
3688,100,0,56.66
3710,100,0,56.66
3732,100,0,56.66
3753,100,0,56.66
3775,100,0,56.66
3797,100,0,56.66
3818,100,0,56.66
3840,100,0,56.66
3862,100,0,56.66
3884,100,0,56.66
3905,100,0,56.66
3927,100,0,56.66
3949,100,0,56.66
3970,100,0,56.66
3992,100,0,56.66
4014,100,0,56.66
4035,100,0,56.66
4057,100,0,56.66
4079,100,0,56.66
4101,100,0,56.66
4122,100,0,56.66
4144,100,0,56.66
4166,100,0,56.66
4187,100,0,56.66
4209,100,0,56.66
4231,100,0,56.66
4253,100,0,56.66
4274,100,0,56.66
4296,100,0,56.66
4318,100,0,56.66
4339,100,0,56.66
4361,100,0,56.66
4383,100,0,56.66
4404,100,0,56.66
4426,100,0,56.66
4448,100,0,56.66
4470,100,0,56.66
4491,100,0,56.66
4513,100,0,56.66
4535,100,0,56.66
4556,100,0,56.66
4578,100,0,56.66
4600,100,0,56.66
4621,100,0,56.66
4643,100,0,56.66
4665,100,0,56.66
4687,100,0,56.66
4708,100,0,56.66
4730,100,0,56.66
4752,100,0,56.66
4773,100,0,56.66
4795,100,0,56.66
4817,100,0,56.66
4838,100,0,56.66
4860,100,0,56.66
4882,100,0,56.66
4904,100,0,56.66
4925,100,0,56.66
4947,100,0,56.66
4969,100,0,56.66
4990,100,0,56.66
5016,100,0,56.66
5038,100,0,56.66
5060,100,0,56.66
5081,100,0,56.66
5103,100,0,56.66
5125,100,0,56.66
5146,100,0,56.66
5168,100,0,56.66
5190,100,0,56.66
5212,100,0,56.66
5233,100,0,56.66
5255,100,0,56.66
5277,100,0,56.66
5298,100,0,56.66
5320,100,0,56.66
5342,100,0,56.66
5363,100,0,56.66
5385,100,0,56.66
5407,100,0,56.66
5429,100,0,56.66
5450,100,0,56.66
5472,100,0,56.66
5494,100,0,56.66
5515,100,0,56.66
5537,100,0,56.66
5559,100,0,56.66
5580,100,0,56.66
5602,100,0,56.66
5624,100,0,56.66
5646,100,0,56.66
5667,100,0,56.66
5689,100,0,56.66
5711,100,0,56.66
5732,100,0,56.66
5754,100,0,56.66
5776,100,0,56.66
5797,100,0,56.66
5819,100,0,56.66
5841,100,0,56.66
5863,100,0,56.66
5884,100,0,56.66
5906,100,0,56.66
5928,100,0,56.66
5949,100,0,56.66
5971,100,0,56.66
5993,100,0,56.66
6014,100,0,56.66
6036,100,0,56.66
6058,100,0,56.66
6080,100,0,56.66
6101,100,0,56.66
6123,100,0,56.66
6145,100,0,56.66
6166,100,0,56.66
6188,100,0,56.66
6210,100,0,56.66
