[Timestamp_micros,aout_speed_uint8,bool_brake,speed_measured_hz]
0,100,0,58.08
21,100,0,58.08
43,100,0,58.08
64,100,0,58.08
86,100,0,58.08
108,100,0,58.08
129,100,0,58.08
151,100,0,58.08
172,100,0,58.08
194,100,0,58.08
216,100,0,58.08
237,100,0,58.08
259,100,0,58.08
280,100,0,58.08
302,100,0,58.08
324,100,0,58.08
345,100,0,58.08
367,100,0,58.08
388,100,0,58.08
410,100,0,58.08
432,100,0,58.08
453,100,0,58.08
475,100,0,58.08
496,100,0,58.08
518,100,0,58.08
540,100,0,58.08
561,100,0,58.08
583,100,0,58.08
604,100,0,58.08
626,100,0,58.08
648,100,0,58.08
669,100,0,58.08
691,100,0,58.08
712,100,0,58.08
734,100,0,58.08
756,100,0,58.08
777,100,0,58.08
799,100,0,58.08
820,100,0,58.08
842,100,0,58.08
864,100,0,58.08
885,100,0,58.08
907,100,0,58.08
928,100,0,58.08
950,100,0,58.08
972,100,0,58.08
993,100,0,58.08
1015,100,0,58.08
1037,100,0,58.08
1058,100,0,58.08
1080,100,0,58.08
1102,100,0,58.08
1123,100,0,58.08
1145,100,0,58.08
1167,100,0,58.08
1188,100,0,58.08
1210,100,0,58.08
1232,100,0,58.08
1253,100,0,58.08
1275,100,0,58.08
1297,100,0,58.08
1318,100,0,58.08
1340,100,0,58.08
1362,100,0,58.08
1383,100,0,58.08
1405,100,0,58.08
1427,100,0,58.08
1448,100,0,58.08
1470,100,0,58.08
1492,100,0,58.08
1513,100,0,58.08
1535,100,0,58.08
1557,100,0,58.08
1578,100,0,58.08
1600,100,0,58.08
1622,100,0,58.08
1643,100,0,58.08
1665,100,0,58.08
1687,100,0,58.08
1708,100,0,58.08
1730,100,0,58.08
1752,100,0,58.08
1773,100,0,58.08
1795,100,0,58.08
1817,100,0,58.08
1838,100,0,58.08
1860,100,0,58.08
1882,100,0,58.08
1903,100,0,58.08
1925,100,0,58.08
1947,100,0,58.08
1968,100,0,58.08
1990,100,0,58.08
2012,100,0,58.08
2033,100,0,58.08
2055,100,0,58.08
2077,100,0,58.08
2098,100,0,58.08
2120,100,0,58.08
2142,100,0,58.08
2163,100,0,58.08
2185,100,0,58.08
2207,100,0,58.08
2229,100,0,58.08
2250,100,0,58.08
2272,100,0,58.08
2294,100,0,58.08
2315,100,0,58.08
2337,100,0,58.08
2359,100,0,58.08
2380,100,0,58.08
2402,100,0,58.08
2424,100,0,58.08
2445,100,0,58.08
2467,100,0,58.08
2489,100,0,58.08
2510,100,0,58.08
2536,100,0,58.08
2557,100,0,58.08
2579,100,0,58.08
2601,100,0,58.08
2622,100,0,58.08
2644,100,0,58.08
2666,100,0,58.08
2687,100,0,58.08
2709,100,0,58.08
2731,100,0,58.08
2752,100,0,58.08
2774,100,0,58.08
2796,100,0,58.08
2817,100,0,58.08
2839,100,0,58.08
2861,100,0,58.08
2882,100,0,58.08
2904,100,0,58.08
2926,100,0,58.08
2947,100,0,58.08
2969,100,0,58.08
2991,100,0,58.08
3012,100,0,58.08
3034,100,0,58.08
3056,100,0,58.08
3078,100,0,58.08
3099,100,0,58.08
3121,100,0,58.08
3143,100,0,58.08
3164,100,0,58.08
3186,100,0,58.08
3208,100,0,58.08
3229,100,0,58.08
3251,100,0,58.08
3273,100,0,58.08
3294,100,0,58.08
3316,100,0,58.08
3338,100,0,58.08
3359,100,0,58.08
3381,100,0,58.08
3403,100,0,58.08
3424,100,0,58.08
3446,100,0,58.08
3468,100,0,58.08
3489,100,0,58.08
3511,100,0,58.08
3533,100,0,58.08
3554,100,0,58.08
3576,100,0,58.08
3598,100,0,58.08
3619,100,0,58.08
3641,100,0,58.08
3663,100,0,58.08
3684,100,0,58.08
3706,100,0,58.08
3728,100,0,58.08
3749,100,0,58.08
3771,100,0,58.08
3793,100,0,58.08
3814,100,0,58.08
3836,100,0,58.08
3858,100,0,58.08
3879,100,0,58.08
3901,100,0,58.08
3923,100,0,58.08
3944,100,0,58.08
3966,100,0,58.08
3988,100,0,58.08
4009,100,0,58.08
4031,100,0,58.08
4053,100,0,58.08
4074,100,0,58.08
4096,100,0,58.08
4118,100,0,58.08
4139,100,0,58.08
4161,100,0,58.08
4183,100,0,58.08
4204,100,0,58.08
4226,100,0,58.08
4248,100,0,58.08
4270,100,0,58.08
4291,100,0,58.08
4313,100,0,58.08
4335,100,0,58.08
4356,100,0,58.08
4378,100,0,58.08
4400,100,0,58.08
4421,100,0,58.08
4443,100,0,58.08
4465,100,0,58.08
4486,100,0,58.08
4508,100,0,58.08
4530,100,0,58.08
4551,100,0,58.08
4573,100,0,58.08
4595,100,0,58.08
4616,100,0,58.08
4638,100,0,58.08
4660,100,0,58.08
4681,100,0,58.08
4703,100,0,58.08
4725,100,0,58.08
4746,100,0,58.08
4768,100,0,58.08
4790,100,0,58.08
4811,100,0,58.08
4833,100,0,58.08
4855,100,0,58.08
4876,100,0,58.08
4898,100,0,58.08
4920,100,0,58.08
4941,100,0,58.08
4963,100,0,58.08
4985,100,0,58.08
5011,100,0,58.08
5032,100,0,58.08
5054,100,0,58.08
5076,100,0,58.08
5097,100,0,58.08
5119,100,0,58.08
5141,100,0,58.08
5162,100,0,58.08
5184,100,0,58.08
5206,100,0,58.08
5227,100,0,58.08
5249,100,0,58.08
5271,100,0,58.08
5292,100,0,58.08
5314,100,0,58.08
5336,100,0,58.08
5357,100,0,58.08
5379,100,0,58.08
5401,100,0,58.08
5422,100,0,58.08
5444,100,0,58.08
5466,100,0,58.08
5487,100,0,58.08
5509,100,0,58.08
5531,100,0,58.08
5552,100,0,58.08
5574,100,0,58.08
5596,100,0,58.08
5617,100,0,58.08
5639,100,0,58.08
5661,100,0,58.08
5682,100,0,58.08
5704,100,0,58.08
5726,100,0,58.08
5747,100,0,58.08
5769,100,0,58.08
5791,100,0,58.08
5812,100,0,58.08
5834,100,0,58.08
5856,100,0,58.08
5877,100,0,58.08
5899,100,0,58.08
5921,100,0,58.08
5942,100,0,58.08
5964,100,0,58.08
5986,100,0,58.08
6007,100,0,58.08
6029,100,0,58.08
6051,100,0,58.08
6072,100,0,58.08
6094,100,0,58.08
6116,100,0,58.08
6137,100,0,58.08
6159,100,0,58.08
6181,100,0,58.08
6202,100,0,58.08
6224,100,0,58.08
6246,100,0,58.08
6267,100,0,58.08
6289,100,0,58.08
6311,100,0,58.08
6333,100,0,58.08
6354,100,0,58.08
6376,100,0,58.08
6398,100,0,58.08
6419,100,0,58.08
6441,100,0,58.08
6463,100,0,58.08
6484,100,0,58.08
6506,100,0,58.08
6528,100,0,58.08
6549,100,0,58.08
6571,100,0,58.08
6593,100,0,58.08
6614,100,0,58.08
6636,100,0,58.08
6658,100,0,58.08
6679,100,0,58.08
6701,100,0,58.08
6723,100,0,58.08
6744,100,0,58.08
6766,100,0,58.08
6788,100,0,58.08
6809,100,0,58.08
6831,100,0,58.08
6853,100,0,58.08
6874,100,0,58.08
6896,100,0,58.08
6918,100,0,58.08
6939,100,0,58.08
6961,100,0,58.08
6983,100,0,58.08
7004,100,0,58.08
7026,100,0,58.08
7048,100,0,58.08
7069,100,0,58.08
7091,100,0,58.08
7113,100,0,58.08
7134,100,0,58.08
7156,100,0,58.08
7178,100,0,58.08
7199,100,0,58.08
7221,100,0,58.08
7243,100,0,58.08
7264,100,0,58.08
7286,100,0,58.08
7308,100,0,58.08
7329,100,0,58.08
7351,100,0,58.08
7373,100,0,58.08
7394,100,0,58.08
7416,100,0,58.08
7438,100,0,58.08
7459,100,0,58.08
7485,100,0,58.08
7507,100,0,58.08
7529,100,0,58.08
7550,100,0,58.08
7572,100,0,58.08
7594,100,0,58.08
7615,100,0,58.08
7637,100,0,58.08
7659,100,0,58.08
7680,100,0,58.08
7702,100,0,58.08
7724,100,0,58.08
7745,100,0,58.08
7767,100,0,58.08
7789,100,0,58.08
7810,100,0,58.08
7832,100,0,58.08
7854,100,0,58.08
7875,100,0,58.08
7897,100,0,58.08
7919,100,0,58.08
7940,100,0,58.08
7962,100,0,58.08
7984,100,0,58.08
8005,100,0,58.08
8027,100,0,58.08
8049,100,0,58.08
8070,100,0,58.08
8092,100,0,58.08
8114,100,0,58.08
8135,100,0,58.08
8157,100,0,58.08
8179,100,0,58.08
8200,100,0,58.08
8222,100,0,58.08
8244,100,0,58.08
8265,100,0,58.08
8287,100,0,58.08
8309,100,0,58.08
8330,100,0,58.08
8352,100,0,58.08
8374,100,0,58.08
8395,100,0,58.08
8417,100,0,58.08
8439,100,0,58.08
8461,100,0,58.08
8482,100,0,58.08
8504,100,0,58.08
8526,100,0,58.08
8547,100,0,58.08
8569,100,0,58.08
8591,100,0,58.08
8612,100,0,58.08
8634,100,0,58.08
8656,100,0,58.08
8677,100,0,58.08
8699,100,0,58.08
8721,100,0,58.08
8742,100,0,58.08
8764,100,0,58.08
8786,100,0,58.08
8807,100,0,58.08
8829,100,0,58.08
8851,100,0,58.08
8872,100,0,58.08
8894,100,0,58.08
8916,100,0,58.08
8937,100,0,58.08
8959,100,0,58.08
8981,100,0,58.08
9002,100,0,58.08
9024,100,0,58.08
9046,100,0,58.08
9067,100,0,58.08
9089,100,0,58.08
9111,100,0,58.08
9133,100,0,58.08
9154,100,0,58.08
9176,100,0,58.08
9198,100,0,58.08
9219,100,0,58.08
9241,100,0,58.08
9263,100,0,58.08
9284,100,0,58.08
9306,100,0,58.08
9328,100,0,58.08
9349,100,0,58.08
9371,100,0,58.08
9393,100,0,58.08
9414,100,0,58.08
9436,100,0,58.08
9458,100,0,58.08
9479,100,0,58.08
9501,100,0,58.08
9523,100,0,58.08
9544,100,0,58.08
9566,100,0,58.08
9588,100,0,58.08
9609,100,0,58.08
9631,100,0,58.08
9653,100,0,58.08
9674,100,0,58.08
9696,100,0,58.08
9718,100,0,58.08
9740,100,0,58.08
9761,100,0,58.08
9783,100,0,58.08
9805,100,0,58.08
9826,100,0,58.08
9848,100,0,58.08
9870,100,0,58.08
9891,100,0,58.08
9913,100,0,58.08
9935,100,0,58.08
9961,100,0,58.08
9982,100,0,58.08
10004,100,0,58.08
10026,100,0,58.08
10047,100,0,58.08
10069,100,0,58.08
10091,100,0,58.08
10112,100,0,58.08
10134,100,0,58.08
10156,100,0,58.08
10178,100,0,58.08
10199,100,0,58.08
10221,100,0,58.08
10243,100,0,58.08
10265,100,0,58.08
10286,100,0,58.08
10308,100,0,58.08
10330,100,0,58.08
10351,100,0,58.08
10373,100,0,58.08
10395,100,0,58.08
10417,100,0,58.08
10438,100,0,58.08
10460,100,0,58.08
10482,100,0,58.08
10503,100,0,58.08
10525,100,0,58.08
10547,100,0,58.08
10569,100,0,58.08
10590,100,0,58.08
10612,100,0,58.08
10634,100,0,58.08
10655,100,0,58.08
10677,100,0,58.08
10699,100,0,58.08
10721,100,0,58.08
10742,100,0,58.08
10764,100,0,58.08
10786,100,0,58.08
10807,100,0,58.08
10829,100,0,58.08
10851,100,0,58.08
10873,100,0,58.08
10894,100,0,58.08
10916,100,0,58.08
10938,100,0,58.08
10960,100,0,58.08
10981,100,0,58.08
11003,100,0,58.08
11025,100,0,58.08
11046,100,0,58.08
11068,100,0,58.08
11090,100,0,58.08
11111,100,0,58.08
11133,100,0,58.08
11155,100,0,58.08
11177,100,0,58.08
11198,100,0,58.08
11220,100,0,58.08
11242,100,0,58.08
11263,100,0,58.08
11285,100,0,58.08
11307,100,0,58.08
11329,100,0,58.08
11350,100,0,58.08
11372,100,0,58.08
11394,100,0,58.08
11416,100,0,58.08
11437,100,0,58.08
11459,100,0,58.08
11481,100,0,58.08
11502,100,0,58.08
11524,100,0,58.08
11546,100,0,58.08
11568,100,0,58.08
11589,100,0,58.08
11611,100,0,58.08
11633,100,0,58.08
11654,100,0,58.08
11676,100,0,58.08
11698,100,0,58.08
11720,100,0,58.08
11741,100,0,58.08
11763,100,0,58.08
11785,100,0,58.08
11807,100,0,58.08
11828,100,0,58.08
11850,100,0,58.08
11872,100,0,58.08
11893,100,0,58.08
11915,100,0,58.08
11937,100,0,58.08
11959,100,0,58.08
11980,100,0,58.08
12002,100,0,58.08
12024,100,0,58.08
12045,100,0,58.08
12067,100,0,58.08
12089,100,0,58.08
12111,100,0,58.08
12132,100,0,58.08
12154,100,0,58.08
12176,100,0,58.08
12197,100,0,58.08
12219,100,0,58.08
12241,100,0,58.08
12263,100,0,58.08
12288,100,0,58.08
12310,100,0,58.08
12332,100,0,58.08
12354,100,0,58.08
12375,100,0,58.08
12397,100,0,58.08
12419,100,0,58.08
12440,100,0,58.08
12462,100,0,58.08
12484,100,0,58.08
12506,100,0,58.08
12527,100,0,58.08
12549,100,0,58.08
12571,100,0,58.08
12593,100,0,58.08
12614,100,0,58.08
12636,100,0,58.08
12658,100,0,58.08
12679,100,0,58.08
12701,100,0,58.08
12723,100,0,58.08
12745,100,0,58.08
12766,100,0,58.08
12788,100,0,58.08
12810,100,0,58.08
12831,100,0,58.08
12853,100,0,58.08
12875,100,0,58.08
12897,100,0,58.08
12918,100,0,58.08
12940,100,0,58.08
12962,100,0,58.08
12983,100,0,58.08
13005,100,0,58.08
13027,100,0,58.08
13049,100,0,58.08
13070,100,0,58.08
13092,100,0,58.08
13114,100,0,58.08
13135,100,0,58.08
13157,100,0,58.08
13179,100,0,58.08
13201,100,0,58.08
13222,100,0,58.08
13244,100,0,58.08
13266,100,0,58.08
13288,100,0,58.08
13309,100,0,58.08
13331,100,0,58.08
13353,100,0,58.08
13374,100,0,58.08
13396,100,0,58.08
13418,100,0,58.08
13440,100,0,58.08
13461,100,0,58.08
13483,100,0,58.08
13505,100,0,58.08
13526,100,0,58.08
13548,100,0,58.08
13570,100,0,58.08
13592,100,0,58.08
13613,100,0,58.08
13635,100,0,58.08
13657,100,0,58.08
13678,100,0,58.08
13700,100,0,58.08
13722,100,0,58.08
13744,100,0,58.08
13765,100,0,58.08
13787,100,0,58.08
13809,100,0,58.08
13831,100,0,58.08
13852,100,0,58.08
13874,100,0,58.08
13896,100,0,58.08
13917,100,0,58.08
13939,100,0,58.08
13961,100,0,58.08
13983,100,0,58.08
14004,100,0,58.08
14026,100,0,58.08
14048,100,0,58.08
14069,100,0,58.08
14091,100,0,58.08
14113,100,0,58.08
14135,100,0,58.08
14156,100,0,58.08
14178,100,0,58.08
14200,100,0,58.08
14221,100,0,58.08
14243,100,0,58.08
14265,100,0,58.08
14287,100,0,58.08
14308,100,0,58.08
14330,100,0,58.08
14352,100,0,58.08
14374,100,0,58.08
14395,100,0,58.08
14417,100,0,58.08
14439,100,0,58.08
14460,100,0,58.08
14482,100,0,58.08
14504,100,0,58.08
14526,100,0,58.08
14547,100,0,58.08
14569,100,0,58.08
14591,100,0,58.08
14612,100,0,58.08
14638,100,0,58.08
14660,100,0,58.08
14682,100,0,58.08
14704,100,0,58.08
14725,100,0,58.08
14747,100,0,58.08
14769,100,0,58.08
14791,100,0,58.08
14812,100,0,58.08
14834,100,0,58.08
14856,100,0,58.08
14877,100,0,58.08
14899,100,0,58.08
14921,100,0,58.08
14943,100,0,58.08
14964,100,0,58.08
14986,100,0,58.08
15008,100,0,58.08
15029,100,0,58.08
15051,100,0,58.08
15073,100,0,58.08
15095,100,0,58.08
15116,100,0,58.08
15138,100,0,58.08
15160,100,0,58.08
15181,100,0,58.08
15203,100,0,58.08
15225,100,0,58.08
15247,100,0,58.08
15268,100,0,58.08
15290,100,0,58.08
15312,100,0,58.08
15333,100,0,58.08
15355,100,0,58.08
15377,100,0,58.08
15399,100,0,58.08
15420,100,0,58.08
15442,100,0,58.08
15464,100,0,58.08
15486,100,0,58.08
15507,100,0,57.48
15529,100,0,57.48
15551,100,0,57.48
15572,100,0,57.48
15594,100,0,57.48
15616,100,0,57.48
15638,100,0,57.48
15659,100,0,57.48
15681,100,0,57.48
15703,100,0,57.48
15724,100,0,57.48
15746,100,0,57.48
15768,100,0,57.48
15790,100,0,57.48
15811,100,0,57.48
15833,100,0,57.48
15855,100,0,57.48
15876,100,0,57.48
15898,100,0,57.48
15920,100,0,57.48
15942,100,0,57.48
15963,100,0,57.48
15985,100,0,57.48
16007,100,0,57.48
16029,100,0,57.48
16050,100,0,57.48
16072,100,0,57.48
16094,100,0,57.48
16115,100,0,57.48
16137,100,0,57.48
16159,100,0,57.48
16181,100,0,57.48
16202,100,0,57.48
16224,100,0,57.48
16246,100,0,57.48
16267,100,0,57.48
16289,100,0,57.48
16311,100,0,57.48
16333,100,0,57.48
16354,100,0,57.48
16376,100,0,57.48
16398,100,0,57.48
16420,100,0,57.48
16441,100,0,57.48
16463,100,0,57.48
16485,100,0,57.48
16506,100,0,57.48
16528,100,0,57.48
16550,100,0,57.48
16572,100,0,57.48
16593,100,0,57.48
16615,100,0,57.48
16637,100,0,57.48
16658,100,0,57.48
16680,100,0,57.48
16702,100,0,57.48
16724,100,0,57.48
16745,100,0,57.48
16767,100,0,57.48
16789,100,0,57.48
16810,100,0,57.48
16832,100,0,57.48
16854,100,0,57.48
16876,100,0,57.48
16897,100,0,57.48
16919,100,0,57.48
16941,100,0,57.48
16962,100,0,57.48
16988,100,0,57.48
17010,100,0,57.48
17032,100,0,57.48
17054,100,0,57.48
17075,100,0,57.48
17097,100,0,57.48
17119,100,0,57.48
17140,100,0,57.48
17162,100,0,57.48
17184,100,0,57.48
17206,100,0,57.48
17227,100,0,57.48
17249,100,0,57.48
17271,100,0,57.48
17293,100,0,57.48
17314,100,0,57.48
17336,100,0,57.48
17358,100,0,57.48
17379,100,0,57.48
17401,100,0,57.48
17423,100,0,57.48
17445,100,0,57.48
17466,100,0,57.48
17488,100,0,57.48
17510,100,0,57.48
17531,100,0,57.48
17553,100,0,57.48
17575,100,0,57.48
17597,100,0,57.48
17618,100,0,57.48
17640,100,0,57.48
17662,100,0,57.48
17683,100,0,57.48
17705,100,0,57.48
17727,100,0,57.48
17749,100,0,57.48
17770,100,0,57.48
17792,100,0,57.48
17814,100,0,57.48
17836,100,0,57.48
17857,100,0,57.48
17879,100,0,57.48
