[Timestamp_micros,aout_speed_uint8,speed_measured_hz]
0,100,57.46
21,100,57.46
42,100,57.46
63,100,57.46
84,100,57.46
105,100,57.46
126,100,57.46
147,100,57.46
168,100,57.46
189,100,57.46
210,100,57.46
231,100,57.46
252,100,57.46
274,100,57.46
295,100,57.46
316,100,57.46
337,100,57.46
358,100,57.46
379,100,57.46
400,100,57.46
421,100,57.46
442,100,57.46
463,100,57.46
484,100,57.46
505,100,57.46
526,100,57.46
547,100,57.46
569,100,57.46
590,100,57.46
611,100,57.46
632,100,57.46
653,100,57.46
674,100,57.46
695,100,57.46
716,100,57.46
737,100,57.46
758,100,57.46
779,100,57.46
800,100,57.46
821,100,57.46
842,100,57.46
864,100,57.46
885,100,57.46
906,100,57.46
927,100,57.46
948,100,57.46
969,100,57.46
990,100,57.46
1011,100,57.46
1032,100,57.46
1053,100,57.46
1074,100,57.46
1095,100,57.46
1116,100,57.46
1138,100,57.46
1159,100,57.46
1180,100,57.46
1201,100,57.46
1222,100,57.46
1243,100,57.46
1264,100,57.46
1285,100,57.46
1306,100,57.46
1327,100,57.46
1349,100,57.46
1370,100,57.46
1391,100,57.46
1412,100,57.46
1433,100,57.46
1454,100,57.46
1475,100,57.46
1496,100,57.46
1517,100,57.46
1538,100,57.46
1560,100,57.46
1581,100,57.46
1602,100,57.46
1623,100,57.46
1644,100,57.46
1665,100,57.46
1686,100,57.46
1707,100,57.46
1728,100,57.46
1749,100,57.46
1771,100,57.46
1792,100,57.46
1813,100,57.46
1834,100,57.46
1855,100,57.46
1876,100,57.46
1897,100,57.46
1918,100,57.46
1939,100,57.46
1960,100,57.46
1982,100,57.46
2003,100,57.46
2024,100,57.46
2045,100,57.46
2066,100,57.46
2087,100,57.46
2108,100,57.46
2129,100,57.46
2150,100,57.46
2171,100,57.46
2193,100,57.46
2214,100,57.46
2235,100,57.46
2256,100,57.46
2277,100,57.46
2298,100,57.46
2319,100,57.46
2340,100,57.46
2361,100,57.46
2383,100,57.46
2404,100,57.46
2425,100,57.46
2446,100,57.46
2467,100,57.46
2488,100,57.46
2509,100,57.46
2530,100,57.46
2551,100,57.46
2573,100,57.46
2594,100,57.46
2615,100,57.46
2636,100,57.46
2657,100,57.46
2678,100,57.46
2699,100,57.46
2720,100,57.46
2741,100,57.46
2762,100,57.46
2788,100,57.46
2809,100,57.46
2830,100,57.46
2851,100,57.46
2872,100,57.46
2893,100,57.46
2914,100,57.46
2935,100,57.46
2956,100,57.46
2977,100,57.46
2999,100,57.46
3020,100,57.46
3041,100,57.46
3062,100,57.46
3083,100,57.46
3104,100,57.46
3125,100,57.46
3146,100,57.46
3168,100,57.46
3189,100,57.46
3210,100,57.46
3231,100,57.46
3252,100,57.46
3273,100,57.46
3294,100,57.46
3315,100,57.46
3336,100,57.46
3357,100,57.46
3379,100,57.46
3400,100,57.46
3421,100,57.46
3442,100,57.46
3463,100,57.46
3484,100,57.46
3505,100,57.46
3526,100,57.46
3547,100,57.46
3569,100,57.46
3590,100,57.46
3611,100,57.46
3632,100,57.46
3653,100,57.46
3674,100,57.46
3695,100,57.46
3716,100,57.46
3737,100,57.46
3759,100,57.46
3780,100,57.46
3801,100,57.46
3822,100,57.46
3843,100,57.46
3864,100,57.46
3885,100,57.46
3906,100,57.46
3927,100,57.46
3948,100,57.46
3970,100,57.46
3991,100,57.46
4012,100,57.46
4033,100,57.46
4054,100,57.46
4075,100,57.46
4096,100,57.46
4117,100,57.46
4138,100,57.46
4159,100,57.46
4181,100,57.46
4202,100,57.46
4223,100,57.46
4244,100,57.46
4265,100,57.46
4286,100,57.46
4307,100,57.46
4328,100,57.46
4349,100,57.46
4371,100,57.46
4392,100,57.46
4413,100,57.46
4434,100,57.46
4455,100,57.46
4476,100,57.46
4497,100,57.46
4518,100,57.46
4539,100,57.46
4561,100,57.46
4582,100,57.46
4603,100,57.46
4624,100,57.46
4645,100,57.46
4666,100,57.46
4687,100,57.46
4708,100,57.46
4729,100,57.46
4750,100,57.46
4772,100,57.46
4793,100,57.46
4814,100,57.46
4835,100,57.46
4856,100,57.46
4877,100,57.46
4898,100,57.46
4919,100,57.46
4940,100,57.46
4962,100,57.46
4983,100,57.46
5004,100,57.46
5025,100,57.46
5046,100,57.46
5067,100,57.46
5088,100,57.46
5109,100,57.46
5130,100,57.46
5151,100,57.46
5173,100,57.46
5194,100,57.46
5215,100,57.46
5236,100,57.46
5257,100,57.46
5278,100,57.46
5299,100,57.46
5320,100,57.46
5341,100,57.46
5363,100,57.46
5384,100,57.46
5405,100,57.46
5426,100,57.46
5447,100,57.46
5468,100,57.46
5494,100,57.46
5515,100,57.46
5536,100,57.46
5557,100,57.46
5578,100,57.46
5599,100,57.46
5620,100,57.46
5641,100,57.46
5662,100,57.46
5683,100,57.46
5705,100,57.46
5726,100,57.46
5747,100,57.46
5768,100,57.46
5789,100,57.46
5810,100,57.46
5831,100,57.46
5852,100,57.46
5873,100,57.46
5895,100,57.46
5916,100,57.46
5937,100,57.46
5958,100,57.46
5979,100,57.46
6000,100,57.46
6021,100,57.46
6042,100,57.46
6063,100,57.46
6084,100,57.46
6106,100,57.46
6127,100,57.46
6148,100,57.46
6169,100,57.46
6190,100,57.46
6211,100,57.46
6232,100,57.46
6253,100,57.46
6274,100,57.46
6296,100,57.46
6317,100,57.46
6338,100,57.46
6359,100,57.46
6380,100,57.46
6401,100,57.46
6422,100,57.46
6443,100,57.46
6464,100,57.46
6486,100,57.46
6507,100,57.46
6528,100,57.46
6549,100,57.46
6570,100,57.46
6591,100,57.46
6612,100,57.46
6633,100,57.46
6654,100,57.46
6675,100,57.46
6697,100,57.46
6718,100,57.46
6739,100,57.46
6760,100,57.46
6781,100,57.46
6802,100,57.46
6823,100,57.46
6844,100,57.46
6865,100,57.46
6887,100,57.46
6908,100,57.46
6929,100,57.46
6950,100,57.46
6971,100,57.46
6992,100,57.46
7013,100,57.46
7034,100,57.46
7055,100,57.46
7076,100,57.46
7098,100,57.46
7119,100,57.46
7140,100,57.46
7161,100,57.46
7182,100,57.46
7203,100,57.46
7224,100,57.46
7245,100,57.46
7266,100,57.46
7288,100,57.46
7309,100,57.46
7330,100,57.46
7351,100,57.46
7372,100,57.46
7393,100,57.46
7414,100,57.46
7435,100,57.46
7456,100,57.46
7477,100,57.46
7499,100,57.46
7520,100,57.46
7541,100,57.46
7562,100,57.46
7583,100,57.46
7604,100,57.46
7625,100,57.46
7646,100,57.46
7667,100,57.46
7689,100,57.46
7710,100,57.46
7731,100,57.46
7752,100,57.46
7773,100,57.46
7794,100,57.46
7815,100,57.46
7836,100,57.46
7857,100,57.46
7879,100,57.46
7900,100,57.46
7921,100,57.46
7942,100,57.46
7963,100,57.46
7984,100,57.46
8005,100,57.46
8026,100,57.46
8047,100,57.46
8068,100,57.46
8090,100,57.46
8111,100,57.46
8132,100,57.46
8153,100,57.46
8174,100,57.46
8199,100,57.46
8221,100,57.46
8242,100,57.46
8263,100,57.46
8284,100,57.46
8305,100,57.46
8326,100,57.46
8347,100,57.46
8368,100,57.46
8389,100,57.46
8411,100,57.46
8432,100,57.46
8453,100,57.46
8474,100,57.46
8495,100,57.46
8516,100,57.46
8537,100,57.46
8558,100,57.46
8579,100,57.46
8601,100,57.46
8622,100,57.46
8643,100,57.46
8664,100,57.46
8685,100,57.46
8706,100,57.46
8727,100,57.46
8748,100,57.46
8769,100,57.46
8791,100,57.46
8812,100,57.46
8833,100,57.46
8854,100,57.46
8875,100,57.46
8896,100,57.46
8917,100,57.46
8938,100,57.46
8960,100,57.46
8981,100,57.46
9002,100,57.46
9023,100,57.46
9044,100,57.46
9065,100,57.46
9086,100,57.46
9107,100,57.46
9128,100,57.46
9150,100,57.46
9171,100,57.46
9192,100,57.46
9213,100,57.46
9234,100,57.46
9255,100,57.46
9276,100,57.46
9297,100,57.46
9318,100,57.46
9340,100,57.46
9361,100,57.46
9382,100,57.46
9403,100,57.46
9424,100,57.46
9445,100,57.46
9466,100,57.46
9487,100,57.46
9508,100,57.46
9530,100,57.46
9551,100,57.46
9572,100,57.46
9593,100,57.46
9614,100,57.46
9635,100,57.46
9656,100,57.46
9677,100,57.46
9698,100,57.46
9720,100,57.46
9741,100,57.46
9762,100,57.46
9783,100,57.46
9804,100,57.46
9825,100,57.46
9846,100,57.46
9867,100,57.46
9888,100,57.46
9910,100,57.46
9931,100,57.46
9952,100,57.46
9973,100,57.46
9994,100,57.46
10015,100,57.46
10036,100,57.46
10057,100,57.46
10079,100,57.46
10100,100,57.46
10121,100,57.46
10142,100,57.46
10163,100,57.46
10184,100,57.46
10206,100,57.46
10227,100,57.46
10248,100,57.46
10269,100,57.46
10290,100,57.46
10311,100,57.46
10333,100,57.55
10354,100,57.55
10375,100,57.55
10396,100,57.55
10417,100,57.55
10438,100,57.55
10459,100,57.55
10481,100,57.55
10502,100,57.55
10523,100,57.55
10544,100,57.55
10565,100,57.55
10586,100,57.55
10608,100,57.55
10629,100,57.55
10650,100,57.55
10671,100,57.55
10692,100,57.55
10713,100,57.55
10735,100,57.55
10756,100,57.55
10777,100,57.55
10798,100,57.55
10819,100,57.55
10845,100,57.55
10866,100,57.55
10887,100,57.55
10908,100,57.55
10929,100,57.55
10950,100,57.55
10972,100,57.55
10993,100,57.55
11014,100,57.55
11035,100,57.55
11056,100,57.55
11077,100,57.55
11099,100,57.55
11120,100,57.55
11141,100,57.55
11162,100,57.55
11183,100,57.55
11204,100,57.55
11225,100,57.55
11247,100,57.55
11268,100,57.55
11289,100,57.55
11310,100,57.55
11331,100,57.55
11352,100,57.55
11374,100,57.55
11395,100,57.55
11416,100,57.55
11437,100,57.55
11458,100,57.55
11479,100,57.55
11501,100,57.55
11522,100,57.55
11543,100,57.55
11564,100,57.55
11585,100,57.55
11606,100,57.55
11628,100,57.55
11649,100,57.55
11670,100,57.55
11691,100,57.55
11712,100,57.55
11733,100,57.55
11754,100,57.55
11776,100,57.55
11797,100,57.55
11818,100,57.55
11839,100,57.55
11860,100,57.55
11881,100,57.55
11903,100,57.55
11924,100,57.55
11945,100,57.55
11966,100,57.55
11987,100,57.55
12008,100,57.55
12030,100,57.55
